Frequency_Hz,Magnitude_dB,Phase_deg
26500000000,-12.1930,90.1014
26600000000,-11.4718,-121.4376
26700000000,-6.6546,161.8506
26800000000,-3.0566,75.2561
26900000000,-9.3364,3.6994
27000000000,-12.0921,-116.4355
27100000000,-10.6188,-89.2753
27200000000,-13.7874,57.4817
27300000000,-9.1725,-91.4177
27400000000,-7.2772,94.3151
27500000000,-11.4134,-21.3004
27600000000,-3.8176,-68.5901
27700000000,-0.0937,143.3661
27800000000,-3.9139,-38.4644
27900000000,-7.7598,-86.2571
28000000000,-2.2524,64.3138
28100000000,-5.8285,35.1151
28200000000,-7.3306,-92.1075
28300000000,-3.0936,155.1133
28400000000,-15.1242,158.2615
28500000000,-4.1265,3.1202
28600000000,0.3961,-177.6811
28700000000,-3.4789,65.1462
28800000000,-10.0409,10.6634
28900000000,5.8382,-152.7698
29000000000,-5.5268,60.9174
29100000000,-3.1369,-46.1197
29200000000,-4.9847,150.5607
29300000000,-5.7224,71.1976
29400000000,-18.6972,-17.7099
29500000000,1.2730,-141.5838
29600000000,-13.0370,84.1060
29700000000,-4.1730,17.5845
29800000000,4.5977,-26.9849
29900000000,0.5452,65.9427
30000000000,-4.6920,13.5924
30100000000,2.9421,-52.8027
30200000000,9.1237,102.5865
30300000000,-1.2662,5.7293
30400000000,-9.0405,-110.3333
30500000000,-13.3266,-24.8842
30600000000,-4.0479,50.0108
30700000000,0.3900,-66.9682
30800000000,-0.9318,81.0665
30900000000,-5.0065,141.1722
31000000000,0.5842,27.8864
31100000000,10.8476,-163.4267
31200000000,-1.1992,-3.5508
31300000000,-7.7533,-59.5934
31400000000,9.5987,-110.9356
31500000000,-0.2027,83.9333
31600000000,-2.2912,-56.9353
31700000000,4.0918,141.6115
31800000000,-8.5357,-138.0030
31900000000,-1.1156,0.4430
32000000000,2.4283,-113.6470
32100000000,-1.3840,45.9714
32200000000,-3.1018,139.9299
32300000000,-0.3232,-32.7996
32400000000,-1.0715,105.7069
32500000000,0.3014,-35.4639
32600000000,-7.9546,-141.2237
32700000000,-5.2919,174.9272
32800000000,-3.3618,66.8639
32900000000,4.6658,-117.0807
33000000000,-0.5114,40.8899
33100000000,-8.7378,-57.2176
33200000000,6.0285,-2.1499
33300000000,5.3982,101.5280
33400000000,-5.6999,-9.9559
33500000000,-2.3187,150.4666
33600000000,-0.8357,160.6822
33700000000,0.4392,56.0305
33800000000,6.5332,-70.4394
33900000000,-2.8596,-11.3936
34000000000,-6.7253,143.7635
34100000000,0.3150,26.8539
34200000000,22.8840,135.4734
34300000000,-0.5044,17.4895
34400000000,-8.1073,-36.0549
34500000000,5.8112,-62.5447
34600000000,-0.4524,76.4567
34700000000,-4.1227,-45.8037
34800000000,0.8018,179.9968
34900000000,-8.9842,92.7324
35000000000,-8.8338,49.7691
35100000000,-0.0760,-45.0747
35200000000,-5.5894,-157.7034
35300000000,-9.0053,52.9377
35400000000,-9.1139,-102.2505
35500000000,5.8582,131.3819
35600000000,-3.0461,33.5562
35700000000,2.3838,-96.6031
35800000000,-6.4061,23.9050
35900000000,-8.4900,-90.8984
36000000000,-4.4673,-40.3529
36100000000,2.1801,90.4513
36200000000,-10.3572,7.2490
36300000000,-1.8704,50.3287
36400000000,6.6301,-136.4252
36500000000,3.5187,41.2188
36600000000,-2.2567,-111.2669
36700000000,-4.4815,64.6041
36800000000,2.8718,71.1678
36900000000,4.4091,-49.2834
37000000000,7.5484,-157.4777
37100000000,8.5472,-109.6369
37200000000,2.8916,126.3177
37300000000,2.1549,-19.9441
37400000000,9.0428,104.8077
37500000000,2.3302,-75.5087
37600000000,1.1088,33.5104
37700000000,9.2404,-81.5789
37800000000,3.6442,97.5073
37900000000,-2.4631,-148.5835
38000000000,3.1676,61.4112
38100000000,4.1042,146.3736
38200000000,-3.9042,-19.7057
38300000000,-2.3771,175.7725
38400000000,2.3127,-84.8263
38500000000,-0.2979,88.7403
38600000000,-1.1232,-65.9052
38700000000,-1.7421,61.1862
38800000000,0.5527,-104.6002
38900000000,-1.3279,3.9215
39000000000,7.4966,-161.7192
39100000000,-4.2291,-7.7651
39200000000,-9.0003,78.1065
39300000000,6.4011,-46.6032
39400000000,1.3603,28.7222
39500000000,-7.3352,-87.5875
39600000000,8.0551,76.5726
39700000000,5.7432,129.6517
39800000000,2.7888,13.8280
39900000000,5.3913,-89.0388
40000000000,4.8887,-129.8954
